"";"COD_CLIENTE";"CAT_EDAD";"ESTADO_CIVIL";"NIVEL_ESTUDIOS";"RANGO_INGRESOS";"SEXO";"probabilidad";"potencial"
"50";"R_10419422253";"2_MINUS30";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,362882065037507;0
"51";"CLI0010394512";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE";0,556289875840595;0
"52";"CLI0021461256";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER";0,301787286134449;0
"53";"CLI0000020828";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";"HOMBRE";0,362218184289047;0
"54";"CLI0044249362";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,127700796197785;0
"55";"CLI0045750207";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE";0,12869578116953;0
"56";"CLI0025693563";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";"MUJER";0,495478917251248;0
"57";"CLI0045717730";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,30558017556658;0
"58";"CLI0046943858";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER";0,307472585614991;0
"59";"CLI0001344899";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,560808279561189;0
"60";"CLI0009465660";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200494709665198;0
"61";"CLI0021438388";"4_PLUS40";"CASADO";"PRIMARIA";"[600-1000>";"HOMBRE";0,249676612099129;0
"62";"CLI0041806448";"3_30_40";"SOLTERO";"UNIVERSIDAD";"<600";"HOMBRE";0,308359645533993;0
"63";"CLI0002658620";"4_PLUS40";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER";0,226965587739682;0
"64";"CLI0045736360";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER";0,301705502412516;0
"65";"CLI0008299700";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE";0,16219871002713;0
"66";"CLI0010077211";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE";0,302583193869692;0
"67";"CLI0043868764";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE";0,12869578116953;0
"68";"CLI0042300329";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,30558017556658;0
"69";"CLI0023819867";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,305662549850826;0
"70";"CLI0016539110";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,305662549850826;0
"71";"CLI0071522782";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,127700796197785;0
"72";"CLI0032804408";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,127744040952476;0
"73";"CLI0008791308";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,362971812058529;0
"74";"CLI0010077855";"4_PLUS40";"SOLTERO";"PRIMARIA";">=2000";"HOMBRE";0,127381149197089;0
"75";"CLI0032118929";"4_PLUS40";"CASADO";"PRIMARIA";"<600";"MUJER";0,370818693767845;0
"76";"CLI0007393552";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE";0,197573387060294;0
"77";"CLI0080393279";"4_PLUS40";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE";0,143286912117588;0
"78";"CLI0073305941";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200432496060631;0
"79";"CLI0046131081";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,30558017556658;0
"80";"CLI0070145178";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER";0,226897491299519;0
"81";"CLI0044818793";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER";0,204449460627603;0
"82";"CLI0001869463";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER";0,687583697827681;0
"83";"CLI0007256604";"4_PLUS40";"SOLTERO";"PRIMARIA";"[1000-2000>";"HOMBRE";0,125716057392845;0
"84";"CLI0047073573";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,30558017556658;0
"85";"CLI0047931609";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,30558017556658;0
"86";"CLI0007367752";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE";0,0798526835562102;0
"87";"CLI0010402175";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE";0,302583193869692;0
"88";"CLI0047168099";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER";0,205901283261083;0
"89";"CLI0020644802";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";"HOMBRE";0,358745372236997;0
"90";"CLI0010627445";"3_30_40";"CASADO";"SECUNDARIA";">=2000";"HOMBRE";0,743053251817018;0
"91";"R_10415273440";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER";0,436043823231173;0
"92";"CLI0043360795";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER";0,132202749453623;0
"93";"R_10459218241";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,127700796197785;0
"94";"CLI0045168191";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200432496060631;0
"95";"CLI0003367115";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER";0,13011454106374;0
"96";"CLI0041115796";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";"HOMBRE";0,42269227790594;0
"97";"CLI0080277027";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER";0,566926680557411;0
"98";"CLI0016765398";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";"HOMBRE";0,362218184289047;0
"99";"CLI0015966337";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"HOMBRE";0,0796134226998306;0
"100";"CLI0044839981";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"<600";"HOMBRE";0,144335290599613;0
"101";"CLI0076621287";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER";0,186077881951427;0
"102";"R_10411021331";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER";0,566926680557411;0
"103";"CLI0031032130";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER";0,131829105834606;0
"104";"CLI0041356778";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER";0,687583697827681;0
"105";"CLI0042153520";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"MUJER";0,30488867681578;0
"106";"CLI0046481691";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE";0,201863031631841;0
"107";"R_10409083965";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,691506543831308;0
"108";"CLI0043375174";"2_MINUS30";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER";0,130070613496967;0
"109";"CLI0041888170";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,691506543831308;0
"110";"CLI0031033947";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE";0,078516554738811;0
"111";"CLI0042681130";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,560808279561189;0
"112";"CLI0080526128";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,427170231874375;0
"113";"CLI0042751465";"2_MINUS30";"SOLTERO";"PRIMARIA";">=2000";"MUJER";0,20391960840955;0
"114";"CLI0044737578";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200432496060631;0
"115";"CLI0021874481";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,691506543831308;0
"116";"CLI0080002383";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER";0,687583697827681;0
"117";"CLI0070848445";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,127700796197785;0
"118";"CLI0040300665";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,691506543831308;0
"119";"CLI0000521712";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE";0,556289875840595;0
"120";"CLI0042761508";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER";0,307472585614991;0
"121";"CLI0043232752";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200432496060631;0
"122";"CLI0023842695";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";"MUJER";0,256514211001729;0
"123";"CLI0040378301";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER";0,432343014466685;0
"124";"CLI0070993175";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";"HOMBRE";0,116137603437104;0
"125";"CLI0002417866";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER";0,43684584365207;0
"126";"CLI0045059497";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200432496060631;0
"127";"CLI0009224312";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";"MUJER";0,495478917251248;0
"128";"CLI0000216258";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE";0,078516554738811;0
"129";"CLI0032848394";"4_PLUS40";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE";0,143286912117588;0
"130";"CLI0043135858";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE";0,197511856002439;0
"131";"CLI0004815496";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"HOMBRE";0,164704342402016;0
"132";"CLI0040866021";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,560808279561189;0
"133";"CLI0017454320";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,560808279561189;0
"134";"CLI0044397210";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,30558017556658;0
"135";"CLI0072077346";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER";0,204449460627603;0
"136";"CLI0007876452";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";"MUJER";0,304970946559129;0
"137";"CLI0000811386";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER";0,132202749453623;0
"138";"CLI0010362191";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER";0,436043823231173;0
"139";"CLI0000006418";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,305662549850826;0
"140";"CLI0008131759";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER";0,132202749453623;0
"141";"CLI0041325200";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,560808279561189;0
"142";"CLI0080652752";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE";0,556289875840595;0
"143";"CLI0047548699";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER";0,205901283261083;0
"144";"CLI0001872158";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"MUJER";0,257136580638721;0
"145";"CLI0029647532";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER";0,436043823231173;0
"146";"CLI0007910812";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";"MUJER";0,304970946559129;0
"147";"CLI0001335782";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";"MUJER";0,499244857609438;0
"148";"CLI0043747418";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,127700796197785;0
"149";"CLI0031039785";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER";0,432343014466685;0
"150";"CLI0018149494";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE";0,302583193869692;0
"151";"CLI0006060319";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,127744040952476;0
"152";"CLI0044333723";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,30558017556658;0
"153";"CLI0002544273";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";"MUJER";0,562422108430558;0
"154";"CLI0009580011";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200494709665198;0
"155";"CLI0008880950";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE";0,199972530334228;0
"156";"R_10445091672";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER";0,307472585614991;0
"157";"CLI0010592349";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,427170231874375;0
"158";"CLI0006254109";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER";0,204512602166266;0
"159";"CLI0043975379";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200432496060631;0
"160";"CLI0041163038";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";"MUJER";0,495478917251248;0
"161";"CLI0006291884";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE";0,0798526835562102;0
"162";"CLI0017915719";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER";0,204512602166266;0
"163";"CLI0080141354";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER";0,566926680557411;0
"164";"CLI0019820127";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE";0,0798526835562102;0
"165";"CLI0070027164";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER";0,204449460627603;0
"166";"CLI0025573758";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE";0,197573387060294;0
